mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__penalty,param_model__loss,param_model__l1_ratio,param_model__alpha,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.23125783602396646,0.029066365396292176,0.02893837292989095,0.007253016539825072,elasticnet,hinge,0.5,1e-06,"{'model__penalty': 'elasticnet', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 1e-06}",0.6791193580548054,0.5660610519047665,0.6675813804919127,0.6375872634838283,0.05079554074063311,12,0.8523333333333334,0.884,0.8843333333333333,0.8735555555555555,0.015006994254120607,16,0.666656550148625,0.5853661248889941,0.6865695503974184,0.6461974084783458,0.043775683448487035,15
0.2040996551513672,0.057260202559281624,0.023246288299560547,0.000730907246020935,l2,log_loss,0.15,1e-06,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-06}",0.6300458486188951,0.6087283380601614,0.6510423220502496,0.629938836243102,0.017274777355338822,17,0.8813333333333333,0.8873333333333333,0.8376666666666667,0.8687777777777778,0.022134828151217933,17,0.6538509406957207,0.6378442087217401,0.6384084924752584,0.6433678806309064,0.007416221647195619,16
0.10088920593261719,0.03973219726415936,0.023799657821655273,0.0014166646193496711,l2,hinge,0.5,1e-06,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 1e-06}",0.660665369612142,0.6850883900714025,0.705102393097863,0.6836187175938025,0.018171079897485332,4,0.8786666666666667,0.8803333333333333,0.8676666666666667,0.8755555555555555,0.005619630496178558,14,0.6763117082679238,0.6948212267279934,0.6950806602540585,0.6887378650833252,0.008787258060749956,5
0.07101217905680339,0.0028685794640806272,0.023003180821736652,0.0022059852531760003,l2,log_loss,0.15,0.001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.6355018665324441,0.6341628674584507,0.6308331155443273,0.6334992831784074,0.001962917389975257,15,0.8953333333333333,0.8973333333333333,0.898,0.8968888888888888,0.0011331154474650764,3,0.6705736215499406,0.671157525510204,0.6685901434809731,0.6701070968470392,0.0010988165132897435,11
0.10338465372721355,0.005487119089331686,0.02525925636291504,0.003825240525950848,l2,log_loss,0.5,0.0001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.5, 'model__alpha': 0.0001}",0.7395291885665611,0.6288423627041974,0.6297006127130702,0.6660240546612762,0.051977159606214414,6,0.887,0.8966666666666666,0.896,0.8932222222222221,0.0044081854277505115,9,0.733439642950658,0.6654632937692718,0.6657023465123755,0.6882017610774351,0.03198816191275816,6
0.1667486826578776,0.021828111060889593,0.022695620854695637,0.0012504917472724872,l1,hinge,0.15,1e-05,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.6868403816308686,0.7012709198439663,0.7070221628545524,0.698377821443129,0.00848934968486415,2,0.8703333333333333,0.898,0.8863333333333333,0.8848888888888888,0.011340956042178184,11,0.6866096942604996,0.7239990908205345,0.7146500027475049,0.7084195959428463,0.015887211219395722,1
0.28898080190022785,0.02994629063053186,0.02344536781311035,0.0005258197668731965,elasticnet,log_loss,0.15,1e-05,"{'model__penalty': 'elasticnet', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.6289456108255655,0.5879948246879164,0.6930546279357152,0.6366650211497323,0.043236423968926824,13,0.8946666666666667,0.89,0.8616666666666667,0.8821111111111112,0.014581401988513225,13,0.6638064205880976,0.6161070619238698,0.6827209848340631,0.6542114891153434,0.0280285653556799,14
0.06210470199584961,0.0012611047615748417,0.021469990412394207,0.00041106388487649974,l2,log_loss,0.5,0.001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.5, 'model__alpha': 0.001}",0.6355018665324441,0.6341628674584507,0.6308331155443273,0.6334992831784074,0.001962917389975257,15,0.8953333333333333,0.8973333333333333,0.898,0.8968888888888888,0.0011331154474650764,3,0.6705736215499406,0.671157525510204,0.6685901434809731,0.6701070968470392,0.0010988165132897435,11
0.13013776143391928,0.03402542051687163,0.023515701293945312,0.0007066432543067171,l2,log_loss,0.15,1e-05,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.6947001448700203,0.5833438194706598,0.68186511278244,0.6533030257077067,0.049745367725116195,9,0.8776666666666667,0.8883333333333333,0.855,0.8736666666666667,0.01389910735209946,15,0.6983587262683523,0.6095229769501995,0.670452464977683,0.6594447227320783,0.03709290481335275,13
0.16305836041768393,0.034794900907595364,0.020286003748575848,0.0011939067128127025,l2,log_loss,0.5,1e-06,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.5, 'model__alpha': 1e-06}",0.6300458486188951,0.6087283380601614,0.6510423220502496,0.629938836243102,0.017274777355338822,17,0.8813333333333333,0.8873333333333333,0.8376666666666667,0.8687777777777778,0.022134828151217933,17,0.6538509406957207,0.6378442087217401,0.6384084924752584,0.6433678806309064,0.007416221647195619,16
