mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0.4283832311630249,0.002113281580208269,0.043625712394714355,0.0003178860271509803,1.0,1.0,300,3,0.01,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}",0.5871421586036162,0.6027867092710644,0.5834209992168766,0.5985756687353527,0.5929813839567275,0.007952011314798365,46,0.8972839069273644,0.8982570998849863,0.8959568256215165,0.8971863387011149,0.8971710427837455,0.0008165193849826837,47,0.29336579427875836,0.3329466357308585,0.28292682926829266,0.3220536756126021,0.3078232337226279,0.020387124091433884,46
0.8396461606025696,0.0008349518101178494,0.04740637540817261,0.003006641148189999,0.6,1.0,300,7,0.1,1.0,"{'model__subsample': 0.6, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.7290226619684814,0.7259017549380131,0.7396199807021451,0.7319688545017418,0.7316283130275953,0.0050883594043482725,4,0.9073697248518092,0.905334866849509,0.9089622224188268,0.9085117678287029,0.907544645487212,0.0014016569513254228,28,0.556167867740568,0.5485232067510548,0.5714285714285714,0.561864406779661,0.5594960131749638,0.008358741944688462,10
0.32090139389038086,0.0011319677386459354,0.04213196039199829,0.0005626177708671287,0.8,0.0,200,3,0.01,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 0.0, 'model__n_estimators': 200, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",0.5662076023112598,0.5782102863822504,0.5668607434066925,0.5727371535809895,0.5710039464202981,0.004876125273548653,49,0.8939219676192162,0.8965761302309121,0.8939219676192162,0.8955937002300478,0.895003441424848,0.0011358836562750196,49,0.23386581469648562,0.2689180737961226,0.23581899298916506,0.25316455696202533,0.24794185961094967,0.01425111455927896,49
0.4078012704849243,0.007583801230451035,0.042922377586364746,0.0004263287373834556,0.8,1.0,300,3,0.05,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.6979514860382988,0.6993967054802006,0.7038594195193107,0.6991348051625187,0.7000856040500822,0.0022458151442284737,27,0.9075466690259223,0.9060426435459612,0.9094930549411661,0.9078924084232879,0.9077436939840844,0.0012262515208723663,26,0.5177664974619289,0.5168334849863512,0.5296551724137931,0.5200553250345782,0.5210776199741628,0.005089098812262762,27
0.8425155282020569,0.004594080437797988,0.04733705520629883,0.0012775004432751442,0.6,5.0,300,7,0.05,1.0,"{'model__subsample': 0.6, 'model__reg_lambda': 5.0, 'model__n_estimators': 300, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.7264653446692437,0.7248572969428602,0.7412231871149706,0.7279990389250512,0.7301362169130314,0.006496744128651635,7,0.9092276386799965,0.9075466690259223,0.911793329204636,0.9101928862148292,0.9096901307813459,0.0015398485213163865,3,0.5569948186528497,0.5516945516945517,0.5791473195441115,0.5607961921246214,0.5621582205040336,0.010327556476863634,4
0.5819308757781982,0.0019751999248856064,0.04462987184524536,0.0007681304640323247,0.6,1.0,300,5,0.05,0.6,"{'model__subsample': 0.6, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.6}",0.7165441115729568,0.715364373853438,0.7215077168698698,0.7172036963488247,0.7176549746612724,0.0023199215236203202,22,0.9096699991152791,0.908165973635318,0.9105547199858445,0.9085117678287029,0.9092256151412861,0.0009482108034375695,7,0.5460204535349044,0.5415194346289752,0.5540361711513013,0.5444933920704845,0.5465173628464164,0.0046329024746371164,21
0.5968360304832458,0.0012736241986718458,0.04373490810394287,0.0006127059800342224,0.6,1.0,300,5,0.01,0.6,"{'model__subsample': 0.6, 'model__reg_lambda': 1.0, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.6}",0.6230875728937932,0.629499680254814,0.6136912524974363,0.6270292476026182,0.6233269383121653,0.0060148477556873905,41,0.9022383438025303,0.9019729275413607,0.90020348580023,0.9010794549637232,0.9013735530269611,0.0008004161230091229,41,0.3823365008384572,0.3951965065502183,0.3598183881952327,0.38907103825136613,0.3816056084588185,0.013375932896464552,41
0.41044384241104126,0.0016640031106346642,0.042350947856903076,7.079935450564065e-05,0.6,0.0,300,3,0.01,1.0,"{'model__subsample': 0.6, 'model__reg_lambda': 0.0, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",0.5853512748351974,0.6213517862456065,0.5894950899531489,0.6101274409636216,0.6015813979993936,0.014776661005333033,43,0.8970184906661948,0.9009112624966823,0.8968415464920817,0.8990444169173598,0.8984539291430796,0.0016618833033988235,44,0.2885085574572127,0.3770856507230256,0.29927884615384615,0.350597609561753,0.32886766597395933,0.03640577014775107,43
0.6101345419883728,0.0023015698133096447,0.04383331537246704,0.0005698587685752203,0.6,0.0,200,7,0.05,0.6,"{'model__subsample': 0.6, 'model__reg_lambda': 0.0, 'model__n_estimators': 200, 'model__max_depth': 7, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.6}",0.7210375962437556,0.7137563261270544,0.7219401009123311,0.7168028947456183,0.7183842295071898,0.003301616490926763,19,0.9094930549411661,0.9064850039812439,0.9095815270282226,0.9078039285082287,0.9083408786147154,0.0012844556089244995,22,0.5511189118034225,0.5362000877577885,0.5525394045534151,0.5425812115891132,0.5456099039259348,0.006634846726373967,23
0.5924850106239319,0.008286418923403665,0.04456913471221924,0.0010682033671160576,0.6,5.0,300,5,0.05,0.8,"{'model__subsample': 0.6, 'model__reg_lambda': 5.0, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.7188184024684723,0.710452583054551,0.7259698914079104,0.717404097150428,0.7181612435203404,0.005509164104414056,20,0.9090506945058834,0.9058656993718481,0.9109086083340706,0.90886568748894,0.9086726724251856,0.001806838580168088,17,0.5475352112676056,0.5308641975308642,0.5600698995194408,0.5454545454545454,0.545980963443114,0.010364694081438242,22
