mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__penalty,param_model__loss,param_model__l1_ratio,param_model__alpha,params,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0.02115631103515625,0.0022840673340475217,0.01598779360453288,0.0013352408875431483,elasticnet,hinge,0.5,1e-06,"{'model__penalty': 'elasticnet', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 1e-06}",0.9620665167475441,0.9366197183098591,0.973109243697479,0.9572651595849607,0.01527876824671972,12,0.9631578947368421,0.9526315789473684,0.9735449735449735,0.9631114824097281,0.008537920667112718,12,0.960756543035024,0.9479467900520532,0.9717209803393483,0.9601414378088085,0.009715513257452998,12
0.020897865295410156,0.0013894877834345599,0.017722447713216145,0.0004246352175259595,l2,log_loss,0.15,1e-06,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-06}",0.9635459817729909,0.9324180376375902,0.9689075630252101,0.9549571941452637,0.016087196160074792,14,0.9578947368421052,0.9473684210526315,0.9682539682539683,0.9578390420495683,0.008526579889078345,17,0.9557315936626282,0.9423613639121466,0.96616137502984,0.9547514442015382,0.009741001044558615,17
0.019952932993570965,0.0016516434443183835,0.01592246691385905,0.0011012923883062396,l2,hinge,0.5,1e-06,"{'model__penalty': 'l2', 'model__loss': 'hinge', 'model__l1_ratio': 0.5, 'model__alpha': 1e-06}",0.959344301100722,0.943661971830986,0.9659663865546219,0.9563242198287766,0.009352803401756166,13,0.9526315789473684,0.9578947368421052,0.9682539682539683,0.9595934280144807,0.0064899371176240245,14,0.9503181382376014,0.9538890911297173,0.9659663865546219,0.9567245386406468,0.006695607554619226,14
0.021123965581258137,0.000752136552102776,0.01712346076965332,0.0002335106017393651,l2,log_loss,0.15,0.001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 0.001}",0.9691087702686709,0.9295774647887324,0.988655462184874,0.9624472324140925,0.024574166774963983,4,0.968421052631579,0.9473684210526315,0.9894179894179894,0.9684024877007333,0.01716666941917233,2,0.966454802259887,0.9419599217986314,0.988655462184874,0.9656900620811308,0.019071042510335853,3
0.020433346430460613,0.0006944864702357993,0.015592336654663086,0.0005464755978820411,l2,log_loss,0.5,0.0001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.5, 'model__alpha': 0.0001}",0.9536631554030062,0.9366197183098591,0.9844537815126051,0.9582455517418235,0.019795170585702272,10,0.9526315789473684,0.9526315789473684,0.9841269841269841,0.9631300473405736,0.01484707638581611,10,0.9498165810711665,0.9479467900520532,0.983032588203609,0.9602653197756096,0.016116976833310953,10
0.02044399579366048,0.0019899680112907504,0.015979210535685223,0.0011063899785370998,l1,hinge,0.15,1e-05,"{'model__penalty': 'l1', 'model__loss': 'hinge', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.960705408924133,0.9310569298141792,0.973109243697479,0.9549571941452637,0.017642387510253068,14,0.9578947368421052,0.9421052631578948,0.9735449735449735,0.9578483245149911,0.012835249975073265,15,0.9555087226320103,0.9372202697425731,0.9717209803393483,0.9548166575713105,0.01409335478057631,15
0.023563067118326824,0.00026971568861113677,0.017153024673461914,0.00012696425477210486,elasticnet,log_loss,0.15,1e-05,"{'model__penalty': 'elasticnet', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.960705408924133,0.9493431175287016,0.9857142857142858,0.9652542707223736,0.015192861844533676,2,0.9578947368421052,0.9578947368421052,0.9894179894179894,0.9684024877007333,0.014860203774309334,2,0.9555087226320103,0.9544855671337884,0.9885869565217391,0.9661937487625126,0.015839897455566593,2
0.02183977762858073,0.0008183387548795649,0.016741037368774414,0.0005940236417743889,l2,log_loss,0.5,0.001,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.5, 'model__alpha': 0.001}",0.9691087702686709,0.9295774647887324,0.988655462184874,0.9624472324140925,0.024574166774963983,4,0.968421052631579,0.9473684210526315,0.9894179894179894,0.9684024877007333,0.01716666941917233,2,0.966454802259887,0.9419599217986314,0.988655462184874,0.9656900620811308,0.019071042510335853,3
0.019998470942179363,0.0009229955686329254,0.016521135965983074,0.001918401920209883,l2,log_loss,0.15,1e-05,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.15, 'model__alpha': 1e-05}",0.9382175405373416,0.9394602911587171,0.9659663865546219,0.9478814060835602,0.012798072674059,20,0.9368421052631579,0.9526315789473684,0.9682539682539683,0.9525758841548315,0.012823899837693596,20,0.9332630839480154,0.9482993197278912,0.9659663865546219,0.9491762634101762,0.013365459787857234,20
0.018829186757405598,0.00015419180792414677,0.016262928644816082,0.0009299215928852061,l2,log_loss,0.5,1e-06,"{'model__penalty': 'l2', 'model__loss': 'log_loss', 'model__l1_ratio': 0.5, 'model__alpha': 1e-06}",0.9635459817729909,0.9324180376375902,0.9689075630252101,0.9549571941452637,0.016087196160074792,14,0.9578947368421052,0.9473684210526315,0.9682539682539683,0.9578390420495683,0.008526579889078345,17,0.9557315936626282,0.9423613639121466,0.96616137502984,0.9547514442015382,0.009741001044558615,17
